order_id,order_date,customer_name,product,category,quantity,unit_price,total_amount,region
35,6/29/2024,  shahzad khan ,HANDBAG,Fashion,4,2800,11200,South
36,10/9/2024,  asad ali ,HANDBAG,Fashion,3,2800,8400,South
37,1/15/2024,  imran ahmad ,Sports Shoes,Footwear,2,3200,6400,South
38,4/11/2024,  ayesha hassan ,Sneakers,Footwear,1,3500,3500,East
39,2/19/2024,  imran khan ,NONE,Fashion,4,1500,6000,North
40,11/17/2024,  umer malik ,Backpack,Fashion,5,1500,7500,North
41,12/20/2024,  shahzad raza ,Sports Shoes,Footwear,5,3200,16000,North
42,2/26/2024,  ali tariq ,Sneakers,Footwear,5,3500,17500,South
43,12/28/2024,  none ,Laptop Stand,Accessories,5,2000,10000,East
44,10/4/2024,  ali malik ,BACKPACK,Fashion,4,1500,6000,East
45,12/14/2024,  ayesha tariq ,Sneakers,Footwear,1,3500,3500,East
46,6/10/2024,  umer hassan ,HANDBAG,Fashion,1,2800,2800,South
47,11/1/2024,  maham ahmad ,Handbag,Fashion,5,2800,14000,East
48,2/29/2024,  maham ali ,LAPTOP STAND,Accessories,1,2000,2000,Central
49,3/18/2024,  ayesha ali ,Headphones,Electronics,3,2500,7500,South
50,12/10/2024,  maham ali ,Smart Watch,Electronics,2,4500,9000,Central
51,10/15/2024,  shahzad malik ,Sneakers,Footwear,4,3500,14000,West
52,12/27/2024,  umer mehmood ,T-Shirt,Fashion,4,800,3200,Central
53,7/24/2024,  maham tariq ,Keyboard,Electronics,2,1800,3600,Central
54,3/26/2024,  ali noor ,LAPTOP STAND,Accessories,4,2000,8000,South
55,5/3/2024,  imran khan ,Smart Watch,Electronics,1,4500,4500,East
56,9/2/2024,  sara ahmad ,Smart Watch,Electronics,4,4500,18000,Central
57,9/23/2024,  none ,Mouse,Electronics,5,1200,6000,East
58,12/20/2024,  adeel tariq ,Sneakers,Footwear,5,3500,17500,Central
59,12/22/2024,  anum ali ,Laptop Stand,Accessories,2,2000,4000,Central
60,4/25/2024,  asad hassan ,Headphones,Electronics,3,2500,7500,West
61,3/6/2024,  adeel khan ,Smart Watch,Electronics,4,4500,18000,West
62,3/24/2024,  umer khan ,Headphones,Electronics,5,2500,12500,East
63,3/24/2024,  asad raza ,Keyboard,Electronics,2,1800,3600,North
64,1/28/2024,  asad raza ,SPORTS SHOES,Footwear,5,3200,16000,East
65,7/10/2024,  sara ali ,Laptop Stand,Accessories,5,2000,10000,Central
66,5/30/2024,  ali malik ,T-Shirt,Fashion,5,800,4000,North
67,8/14/2024,  anum khan ,NONE,Electronics,5,2500,12500,North
68,4/3/2024,  umer khan ,Backpack,Fashion,1,1500,1500,East
69,1/26/2024,  ayesha tariq ,Mouse,Electronics,1,1200,1200,North
70,10/30/2024,  ali ahmad ,Sneakers,Footwear,1,3500,3500,South
71,8/20/2024,  adeel noor ,KEYBOARD,Electronics,3,1800,5400,Central
72,10/30/2024,  ayesha khan ,SMART WATCH,Electronics,1,4500,4500,Central
73,10/29/2024,  ali tariq ,Sneakers,Footwear,3,3500,10500,South
74,1/2/2024,  asad malik ,T-Shirt,Fashion,4,800,3200,West
75,8/11/2024,  asad noor ,LAPTOP STAND,Accessories,1,2000,2000,East
76,3/20/2024,  ayesha tariq ,Headphones,Electronics,3,2500,7500,West
77,2/4/2024,  sara raza ,Headphones,Electronics,2,2500,5000,East
78,12/2/2024,  maham hassan ,T-Shirt,Fashion,1,800,800,North
79,8/12/2024,  none ,SPORTS SHOES,Footwear,4,3200,12800,Central
80,3/4/2024,  ayesha ahmad ,MOUSE,Electronics,3,1200,3600,North
81,12/15/2024,  asad ahmad ,Backpack,Fashion,4,1500,6000,North
82,4/14/2024,  ayesha noor ,Mouse,Electronics,3,1200,3600,East
83,10/8/2024,  ayesha hassan ,MOUSE,Electronics,1,1200,1200,North
84,10/14/2024,  umer malik ,Sports Shoes,Footwear,4,3200,12800,South
85,11/13/2024,  adeel sheikh ,Laptop Stand,Accessories,2,2000,4000,North
86,10/31/2024,  shahzad khan ,Backpack,Fashion,4,1500,6000,North
87,2/14/2024,  umer tariq ,Sneakers,Footwear,4,3500,14000,Central
88,3/21/2024,  adeel ali ,Laptop Stand,Accessories,5,2000,10000,Central
89,7/31/2024,  maham tariq ,Mouse,Electronics,3,1200,3600,East
90,9/28/2024,  ayesha malik ,Sneakers,Footwear,5,3500,17500,West
91,5/31/2024,  maham khan ,Sports Shoes,Footwear,1,3200,3200,North
92,12/25/2024,  ayesha mehmood ,BACKPACK,Fashion,5,1500,7500,South
93,11/21/2024,  ali khan ,Backpack,Fashion,3,1500,4500,Central
94,3/28/2024,  maham sheikh ,Backpack,Fashion,4,1500,6000,East
95,4/30/2024,  shahzad raza ,Sports Shoes,Footwear,3,3200,9600,South
96,8/27/2024,  ali sheikh ,Backpack,Fashion,2,1500,3000,Central
97,4/30/2024,  ali raza ,Keyboard,Electronics,2,1800,3600,East
98,4/25/2024,  ayesha hassan ,Laptop Stand,Accessories,1,2000,2000,South
99,7/28/2024,  sara mehmood ,Mouse,Electronics,4,1200,4800,South
100,11/11/2024,  maham hassan ,Sneakers,Footwear,2,3500,7000,North
101,12/13/2024,  maham sheikh ,Laptop Stand,Accessories,5,2000,10000,North
102,3/8/2024,  umer khan ,SMART WATCH,Electronics,4,4500,18000,West
103,7/24/2024,  asad tariq ,Keyboard,Electronics,2,1800,3600,Central
104,5/29/2024,  imran hassan ,Sneakers,Footwear,2,3500,7000,Central
105,5/2/2024,  ali hassan ,Headphones,Electronics,5,2500,12500,West
106,1/18/2024,  maham sheikh ,Backpack,Fashion,4,1500,6000,South
107,12/29/2024,  imran ahmad ,Keyboard,Electronics,3,1800,5400,East
108,1/14/2024,  shahzad raza ,HEADPHONES,Electronics,-1,2500,5000,
109,12/16/2024,  anum sheikh ,Sports Shoes,Footwear,5,3200,16000,West
110,3/9/2024,  shahzad malik ,Keyboard,Electronics,4,1800,7200,North
111,8/6/2024,  none ,Headphones,Electronics,3,2500,7500,North
112,8/19/2024,  asad noor ,Sports Shoes,Footwear,2,3200,6400,North
113,4/15/2024,  ayesha hassan ,T-Shirt,Fashion,4,800,3200,East
114,2/19/2024,  imran noor ,BACKPACK,Fashion,4,1500,6000,East
115,1/26/2024,  adeel ahmad ,Keyboard,Electronics,4,1800,7200,South
116,8/2/2024,  shahzad malik ,T-Shirt,Fashion,4,800,3200,South
117,10/4/2024,  imran hassan ,Keyboard,Electronics,5,1800,9000,South
118,3/28/2024,  maham mehmood ,Sports Shoes,Footwear,3,3200,9600,South
119,5/9/2024,  umer ali ,Smart Watch,Electronics,4,4500,18000,North
120,5/21/2024,  anum noor ,LAPTOP STAND,Accessories,1,2000,2000,
121,4/16/2024,  shahzad noor ,Keyboard,Electronics,5,1800,9000,West
122,5/5/2024,  sara khan ,Headphones,Electronics,3,2500,7500,South
123,1/22/2024,  shahzad ahmad ,Sports Shoes,Footwear,4,3200,12800,South
124,12/23/2024,  adeel noor ,HANDBAG,Fashion,1,2800,2800,Central
125,4/8/2024,  ayesha ali ,Backpack,Fashion,5,1500,7500,East
126,6/9/2024,  ali ahmad ,KEYBOARD,Electronics,4,1800,7200,South
127,12/3/2024,  anum mehmood ,Laptop Stand,Accessories,1,2000,2000,North
128,1/9/2024,  sara khan ,KEYBOARD,Electronics,5,1800,9000,Central
129,8/24/2024,  umer tariq ,SPORTS SHOES,Footwear,2,3200,6400,West
130,5/10/2024,  asad malik ,Sneakers,Footwear,5,3500,17500,North
131,11/8/2024,  maham malik ,Handbag,Fashion,3,2800,8400,West
132,3/27/2024,  sara ali ,Sneakers,Footwear,2,3500,7000,South
133,10/4/2024,  anum ahmad ,HEADPHONES,Electronics,3,2500,7500,North
134,10/26/2024,  shahzad ali ,Sports Shoes,Footwear,2,3200,6400,Central
135,4/15/2024,  maham tariq ,Sports Shoes,Footwear,2,3200,6400,West
136,1/20/2024,  maham tariq ,Keyboard,Electronics,5,1800,9000,East
137,5/11/2024,  ayesha mehmood ,Smart Watch,Electronics,1,4500,4500,Central
138,4/23/2024,  ali tariq ,Handbag,Fashion,3,2800,8400,Central
139,8/23/2024,  maham noor ,Handbag,Fashion,2,2800,5600,South
140,10/3/2024,  shahzad raza ,Backpack,Fashion,2,1500,3000,South
141,5/13/2024,  anum ahmad ,SMART WATCH,Electronics,5,4500,22500,South
142,12/14/2024,  ali ali ,Sneakers,Footwear,3,3500,10500,West
143,11/14/2024,  asad ahmad ,Laptop Stand,Accessories,5,2000,10000,
144,6/9/2024,  ayesha noor ,Mouse,Electronics,5,1200,6000,West
145,5/14/2024,  ayesha sheikh ,Sneakers,Footwear,2,3500,7000,West
146,4/21/2024,  sara hassan ,Mouse,Electronics,4,1200,4800,South
147,1/23/2024,  ali ali ,MOUSE,Electronics,2,1200,2400,North
148,5/14/2024,  shahzad hassan ,Backpack,Fashion,2,1500,3000,
149,12/22/2024,  umer raza ,Keyboard,Electronics,4,1800,7200,Central
150,7/22/2024,  maham sheikh ,None,Footwear,1,3200,3200,Central
151,3/15/2024,  sara mehmood ,Smart Watch,Electronics,5,4500,22500,South
152,8/24/2024,  none ,Backpack,Fashion,1,1500,1500,South
153,11/12/2024,  maham sheikh ,Mouse,Electronics,4,1200,4800,Central
154,7/16/2024,  ali khan ,Laptop Stand,Accessories,2,2000,4000,Central
155,6/24/2024,  adeel ali ,Handbag,Fashion,-3,2800,11200,Central
156,12/1/2024,  maham ali ,BACKPACK,Fashion,3,1500,4500,East
157,5/12/2024,  none ,Smart Watch,Electronics,1,4500,4500,North
158,8/8/2024,  sara ahmad ,SPORTS SHOES,Footwear,3,3200,9600,Central
159,12/27/2024,  shahzad tariq ,Headphones,Electronics,1,2500,2500,East
160,9/14/2024,  imran khan ,Headphones,Electronics,3,2500,7500,Central
161,4/8/2024,  adeel sheikh ,Headphones,Electronics,5,2500,12500,North
162,1/7/2024,  umer raza ,LAPTOP STAND,Accessories,-1,2000,10000,West
163,12/14/2024,  shahzad mehmood ,BACKPACK,Fashion,5,1500,7500,Central
164,12/8/2024,  umer malik ,HEADPHONES,Electronics,1,2500,2500,East
165,1/3/2024,  sara sheikh ,KEYBOARD,Electronics,1,1800,1800,North
166,6/26/2024,  umer ahmad ,Mouse,Electronics,1,1200,1200,North
167,6/26/2024,  imran malik ,T-Shirt,Fashion,3,800,2400,South
168,2/8/2024,  ali khan ,HANDBAG,Fashion,2,2800,5600,West
169,4/9/2024,  adeel hassan ,Laptop Stand,Accessories,1,2000,2000,North
170,2/4/2024,  anum khan ,BACKPACK,Fashion,5,1500,7500,East
171,8/17/2024,  ayesha noor ,Backpack,Fashion,3,1500,4500,
172,9/9/2024,  ayesha sheikh ,Sneakers,Footwear,3,3500,10500,West
173,3/30/2024,  adeel raza ,Sports Shoes,Footwear,4,3200,12800,South
174,12/24/2024,  imran raza ,Smart Watch,Electronics,4,4500,18000,South
175,8/31/2024,  maham ali ,Smart Watch,Electronics,1,4500,4500,South
176,7/16/2024,  ayesha ahmad ,Laptop Stand,Accessories,4,2000,8000,East
177,10/30/2024,  umer hassan ,SMART WATCH,Electronics,1,4500,4500,Central
178,11/22/2024,  ali ahmad ,MOUSE,Electronics,3,1200,3600,Central
179,4/21/2024,  adeel sheikh ,Laptop Stand,Accessories,5,2000,10000,Central
180,9/12/2024,  asad malik ,T-Shirt,Fashion,1,800,800,West
181,10/7/2024,  ali ali ,Headphones,Electronics,3,2500,7500,North
182,5/22/2024,  shahzad ali ,T-Shirt,Fashion,5,800,4000,Central
183,5/2/2024,  asad sheikh ,T-Shirt,Fashion,2,800,1600,North
184,7/13/2024,  sara khan ,Mouse,Electronics,4,1200,4800,Central
185,6/27/2024,  sara tariq ,Sports Shoes,Footwear,2,3200,6400,Central
186,8/16/2024,  ayesha malik ,SNEAKERS,Footwear,5,3500,17500,South
187,1/23/2024,  ali ahmad ,Mouse,Electronics,5,1200,6000,South
188,11/19/2024,  shahzad noor ,Backpack,Fashion,2,1500,3000,West
189,11/20/2024,  umer ahmad ,KEYBOARD,Electronics,5,1800,9000,South
190,3/9/2024,  umer noor ,Headphones,Electronics,1,2500,2500,North
191,8/21/2024,  ayesha malik ,SPORTS SHOES,Footwear,3,3200,9600,Central
192,11/2/2024,  sara malik ,T-Shirt,Fashion,1,800,800,East
193,12/21/2024,  ayesha malik ,T-SHIRT,Fashion,4,800,3200,South
194,6/27/2024,  sara khan ,T-Shirt,Fashion,2,800,1600,South
195,2/3/2024,  ali ali ,Laptop Stand,Accessories,3,2000,6000,West
196,4/8/2024,  umer khan ,KEYBOARD,Electronics,-1,1800,9000,South
197,6/7/2024,  maham sheikh ,BACKPACK,Fashion,2,1500,3000,North
198,3/16/2024,  ayesha ali ,Handbag,Fashion,2,2800,5600,South
199,8/25/2024,  asad mehmood ,HEADPHONES,Electronics,5,2500,12500,Central
200,6/16/2024,  adeel khan ,Laptop Stand,Accessories,4,2000,8000,Central
201,3/31/2024,  ali ali ,LAPTOP STAND,Accessories,4,2000,8000,Central
202,12/29/2024,  maham ali ,KEYBOARD,Electronics,3,1800,5400,North
203,5/28/2024,  ali tariq ,MOUSE,Electronics,5,1200,6000,North
204,5/7/2024,  anum ali ,T-Shirt,Fashion,3,800,2400,
205,10/8/2024,  ali ahmad ,Smart Watch,Electronics,1,4500,4500,South
206,6/26/2024,  ayesha raza ,Handbag,Fashion,3,2800,8400,Central
207,10/16/2024,  sara hassan ,Keyboard,Electronics,1,1800,1800,South
208,6/19/2024,  shahzad noor ,SMART WATCH,Electronics,3,4500,13500,East
209,1/30/2024,  imran mehmood ,Handbag,Fashion,1,2800,2800,South
210,3/18/2024,  maham sheikh ,Sneakers,Footwear,4,3500,14000,North
211,4/27/2024,  umer malik ,T-Shirt,Fashion,3,800,2400,Central
212,1/1/2024,  sara raza ,Backpack,Fashion,4,1500,6000,East
213,1/22/2024,  shahzad khan ,Sports Shoes,Footwear,2,3200,6400,North
214,3/25/2024,  umer mehmood ,Sports Shoes,Footwear,3,3200,9600,Central
215,10/31/2024,  sara raza ,SPORTS SHOES,Footwear,1,3200,3200,North
216,7/15/2024,  sara raza ,Smart Watch,Electronics,3,4500,13500,East
217,6/2/2024,  asad raza ,Mouse,Electronics,5,1200,6000,North
218,6/20/2024,  adeel noor ,Smart Watch,Electronics,1,4500,4500,North
219,9/21/2024,  anum hassan ,Sneakers,Footwear,2,3500,7000,South
220,4/14/2024,  ayesha mehmood ,Sports Shoes,Footwear,4,3200,12800,South
221,7/26/2024,  adeel ahmad ,LAPTOP STAND,Accessories,5,2000,10000,East
222,9/14/2024,  ayesha hassan ,Mouse,Electronics,3,1200,3600,North
223,6/3/2024,  maham hassan ,Smart Watch,Electronics,2,4500,9000,North
224,4/17/2024,  sara noor ,Smart Watch,Electronics,3,4500,13500,Central
225,4/16/2024,  ayesha raza ,Keyboard,Electronics,1,1800,1800,South
226,5/20/2024,  shahzad raza ,SNEAKERS,Footwear,5,3500,17500,West
227,10/31/2024,  anum raza ,SPORTS SHOES,Footwear,5,3200,16000,West
228,11/3/2024,  anum ali ,Mouse,Electronics,3,1200,3600,West
229,9/18/2024,  ali ali ,Backpack,Fashion,3,1500,4500,North
230,1/29/2024,  imran malik ,KEYBOARD,Electronics,3,1800,5400,West
231,1/28/2024,  asad malik ,Sneakers,Footwear,3,3500,10500,West
232,12/26/2024,  none ,Laptop Stand,Accessories,4,2000,8000,South
233,4/10/2024,  ayesha mehmood ,Sports Shoes,Footwear,1,3200,3200,Central
234,11/18/2024,  asad malik ,Laptop Stand,Accessories,2,2000,4000,East
235,3/12/2024,  adeel mehmood ,SMART WATCH,Electronics,4,4500,18000,West
236,10/18/2024,  sara ahmad ,Laptop Stand,Accessories,2,2000,4000,North
237,12/5/2024,  sara tariq ,Sports Shoes,Footwear,1,3200,3200,West
238,9/9/2024,  shahzad mehmood ,Laptop Stand,Accessories,2,2000,4000,South
239,12/12/2024,  sara ali ,LAPTOP STAND,Accessories,3,2000,6000,West
240,3/4/2024,  ali malik ,SMART WATCH,Electronics,1,4500,4500,South
241,5/10/2024,  maham malik ,Laptop Stand,Accessories,5,2000,10000,Central
242,8/1/2024,  ayesha noor ,HEADPHONES,Electronics,2,2500,5000,South
243,6/16/2024,  sara malik ,SPORTS SHOES,Footwear,1,3200,3200,South
244,9/24/2024,  shahzad hassan ,Smart Watch,Electronics,2,4500,9000,East
245,11/25/2024,  anum raza ,Headphones,Electronics,-3,2500,12500,Central
246,4/18/2024,  adeel khan ,Handbag,Fashion,1,2800,2800,South
247,7/18/2024,  umer malik ,Handbag,Fashion,1,2800,2800,Central
248,3/27/2024,  umer khan ,Mouse,Electronics,1,1200,1200,North
249,9/18/2024,  anum tariq ,None,Electronics,3,1800,5400,North
250,12/28/2024,  shahzad raza ,Sneakers,Footwear,2,3500,7000,West
251,7/9/2024,  sara raza ,KEYBOARD,Electronics,2,1800,3600,North
252,8/6/2024,  sara khan ,Laptop Stand,Accessories,2,2000,4000,West
253,5/26/2024,  ayesha noor ,T-Shirt,Fashion,5,800,4000,South
254,10/24/2024,  adeel noor ,Sports Shoes,Footwear,3,3200,9600,East
255,10/21/2024,  asad sheikh ,Mouse,Electronics,5,1200,6000,South
256,5/7/2024,  ayesha malik ,Mouse,Electronics,3,1200,3600,North
257,8/13/2024,  ali sheikh ,Sneakers,Footwear,1,3500,3500,West
258,8/27/2024,  ali sheikh ,Headphones,Electronics,1,2500,2500,West
259,10/27/2024,  ali tariq ,HANDBAG,Fashion,3,2800,8400,South
260,5/30/2024,  maham raza ,Smart Watch,Electronics,3,4500,13500,Central
261,7/17/2024,  sara ahmad ,Keyboard,Electronics,1,1800,1800,Central
262,5/3/2024,  shahzad tariq ,T-SHIRT,Fashion,5,800,4000,South
263,3/9/2024,  umer malik ,LAPTOP STAND,Accessories,1,2000,2000,North
264,3/31/2024,  asad ali ,Sports Shoes,Footwear,5,3200,16000,South
265,6/28/2024,  ayesha mehmood ,Keyboard,Electronics,5,1800,9000,West
266,2/4/2024,  ali noor ,Laptop Stand,Accessories,5,2000,10000,Central
267,7/4/2024,  ali khan ,T-Shirt,Fashion,4,800,3200,South
268,5/16/2024,  asad ahmad ,Backpack,Fashion,3,1500,4500,North
269,11/4/2024,  ali raza ,SMART WATCH,Electronics,3,4500,13500,Central
270,5/19/2024,  imran raza ,Smart Watch,Electronics,2,4500,9000,East
271,7/27/2024,  umer sheikh ,MOUSE,Electronics,2,1200,2400,North
272,5/11/2024,  ali sheikh ,Handbag,Fashion,1,2800,2800,West
273,11/26/2024,  sara malik ,T-SHIRT,Fashion,4,800,3200,North
274,4/9/2024,  sara noor ,NONE,Accessories,4,2000,8000,East
275,4/14/2024,  asad raza ,T-Shirt,Fashion,2,800,1600,East
276,6/9/2024,  shahzad raza ,BACKPACK,Fashion,5,1500,7500,East
277,3/26/2024,  ayesha ali ,Laptop Stand,Accessories,2,2000,4000,West
278,9/18/2024,  sara ali ,Keyboard,Electronics,2,1800,3600,West
279,4/4/2024,  ayesha hassan ,Smart Watch,Electronics,4,4500,18000,Central
280,1/29/2024,  ali sheikh ,Headphones,Electronics,3,2500,7500,Central
281,5/10/2024,  umer ahmad ,T-SHIRT,Fashion,5,800,4000,Central
282,6/29/2024,  sara malik ,BACKPACK,Fashion,1,1500,1500,South
283,8/2/2024,  umer raza ,LAPTOP STAND,Accessories,3,2000,6000,East
284,12/15/2024,  sara mehmood ,BACKPACK,Fashion,3,1500,4500,
285,4/23/2024,  ali hassan ,Keyboard,Electronics,1,1800,1800,East
286,11/30/2024,  imran khan ,LAPTOP STAND,Accessories,4,2000,8000,West
287,5/27/2024,  shahzad khan ,Sports Shoes,Footwear,2,3200,6400,North
288,4/24/2024,  anum khan ,MOUSE,Electronics,4,1200,4800,Central
289,11/30/2024,  anum tariq ,SNEAKERS,Footwear,5,3500,17500,East
290,10/27/2024,  ayesha khan ,SNEAKERS,Footwear,5,3500,17500,West
291,11/14/2024,  none ,Smart Watch,Electronics,3,4500,13500,
292,1/23/2024,  anum malik ,None,Footwear,2,3500,7000,South
293,7/9/2024,  none ,Smart Watch,Electronics,5,4500,22500,North
294,11/12/2024,  imran tariq ,KEYBOARD,Electronics,3,1800,5400,West
295,7/28/2024,  adeel tariq ,SNEAKERS,Footwear,2,3500,7000,South
296,3/28/2024,  shahzad noor ,SMART WATCH,Electronics,5,4500,22500,North
297,5/27/2024,  ali hassan ,Laptop Stand,Accessories,1,2000,2000,Central
298,1/26/2024,  adeel tariq ,T-Shirt,Fashion,3,800,2400,South
299,12/1/2024,  adeel tariq ,Laptop Stand,Accessories,2,2000,4000,South
300,5/11/2024,  maham khan ,Laptop Stand,Accessories,5,2000,10000,Central
301,3/13/2024,  sara sheikh ,HEADPHONES,Electronics,2,2500,5000,West
302,2/20/2024,  anum raza ,HANDBAG,Fashion,2,2800,5600,West
303,2/20/2024,  none ,Smart Watch,Electronics,4,4500,18000,North
304,10/28/2024,  sara hassan ,Headphones,Electronics,3,2500,7500,Central
305,4/21/2024,  imran noor ,Handbag,Fashion,4,2800,11200,East
306,8/13/2024,  anum malik ,Keyboard,Electronics,4,1800,7200,South
307,9/8/2024,  ali raza ,Smart Watch,Electronics,5,4500,22500,East
308,1/27/2024,  asad hassan ,SPORTS SHOES,Footwear,5,3200,16000,South
309,1/19/2024,  sara ali ,T-Shirt,Fashion,1,800,800,South
310,7/9/2024,  imran raza ,Keyboard,Electronics,1,1800,1800,South
311,11/30/2024,  anum malik ,Sports Shoes,Footwear,3,3200,9600,Central
312,6/9/2024,  asad noor ,Headphones,Electronics,4,2500,10000,Central
313,6/29/2024,  maham malik ,Keyboard,Electronics,5,1800,9000,South
314,4/16/2024,  sara tariq ,T-Shirt,Fashion,3,800,2400,West
315,5/5/2024,  adeel ahmad ,Backpack,Fashion,1,1500,1500,South
316,10/13/2024,  adeel sheikh ,Sneakers,Footwear,2,3500,7000,North
317,12/3/2024,  adeel malik ,Headphones,Electronics,2,2500,5000,Central
318,12/7/2024,  maham ahmad ,Sneakers,Footwear,3,3500,10500,South
319,7/28/2024,  ayesha ahmad ,T-Shirt,Fashion,1,800,800,South
320,12/2/2024,  asad noor ,SNEAKERS,Footwear,5,3500,17500,North
321,8/28/2024,  anum tariq ,Laptop Stand,Accessories,5,2000,10000,South
322,3/1/2024,  ali raza ,Headphones,Electronics,4,2500,10000,West
323,4/20/2024,  maham noor ,T-Shirt,Fashion,4,800,3200,North
324,2/22/2024,  umer malik ,Sneakers,Footwear,4,3500,14000,East
325,1/16/2024,  none ,Sports Shoes,Footwear,3,3200,9600,East
326,4/24/2024,  maham khan ,Sports Shoes,Footwear,1,3200,3200,North
327,7/9/2024,  ayesha mehmood ,Handbag,Fashion,5,2800,14000,South
328,11/1/2024,  umer khan ,LAPTOP STAND,Accessories,1,2000,2000,North
329,2/18/2024,  shahzad sheikh ,BACKPACK,Fashion,3,1500,4500,East
330,3/22/2024,  shahzad sheikh ,Handbag,Fashion,1,2800,2800,East
331,2/25/2024,  asad mehmood ,T-Shirt,Fashion,3,800,2400,East
332,3/1/2024,  maham noor ,Backpack,Fashion,2,1500,3000,
333,11/17/2024,  asad mehmood ,MOUSE,Electronics,5,1200,6000,Central
334,3/22/2024,  sara khan ,Sneakers,Footwear,1,3500,3500,North
335,6/11/2024,  shahzad khan ,KEYBOARD,Electronics,4,1800,7200,South
336,12/20/2024,  none ,SMART WATCH,Electronics,4,4500,18000,East
337,5/29/2024,  umer khan ,SMART WATCH,Electronics,3,4500,13500,South
338,3/15/2024,  ali noor ,Mouse,Electronics,5,1200,6000,Central
339,12/27/2024,  ali raza ,SNEAKERS,Footwear,5,3500,17500,North
340,5/14/2024,  umer mehmood ,SMART WATCH,Electronics,1,4500,4500,East
341,1/15/2024,  maham raza ,SPORTS SHOES,Footwear,5,3200,16000,East
342,1/30/2024,  umer raza ,Backpack,Fashion,3,1500,4500,Central
343,7/7/2024,  shahzad noor ,Handbag,Fashion,4,2800,11200,Central
344,2/26/2024,  ayesha mehmood ,LAPTOP STAND,Accessories,5,2000,10000,Central
345,1/21/2024,  ayesha sheikh ,Mouse,Electronics,2,1200,2400,
346,12/25/2024,  ali ali ,T-Shirt,Fashion,1,800,800,Central
347,2/9/2024,  sara ahmad ,HANDBAG,Fashion,4,2800,11200,South
348,7/20/2024,  asad hassan ,T-SHIRT,Fashion,5,800,4000,Central
349,8/19/2024,  none ,Handbag,Fashion,3,2800,8400,West
350,5/10/2024,  umer khan ,Sports Shoes,Footwear,3,3200,9600,North
351,5/20/2024,  ali ahmad ,SNEAKERS,Footwear,4,3500,14000,East
352,6/17/2024,  maham hassan ,Laptop Stand,Accessories,2,2000,4000,West
353,11/24/2024,  sara khan ,Sports Shoes,Footwear,4,3200,12800,South
354,1/10/2024,  anum malik ,SNEAKERS,Footwear,4,3500,14000,North
355,8/14/2024,  imran tariq ,T-Shirt,Fashion,1,800,800,West
356,3/8/2024,  umer sheikh ,Laptop Stand,Accessories,2,2000,4000,North
357,8/21/2024,  sara noor ,NONE,Electronics,5,4500,22500,Central
